Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
29,Nikola Vucevic,2018-19,28,ORL,NBA,58,.577,20.5,58,1802,25.6,.177,.160,9.1,32.9,20.9,22.5,1.5,3.0,10.1,27.9,114,103,3.8,3.3,7.1,.190,3.2,3.4,6.6,3.9
30,Nikola Jokic,2018-19,23,DEN,NBA,56,.591,20.4,56,1767,27.0,.236,.304,9.7,27.2,18.4,38.4,2.2,1.8,15.6,27.7,120,105,5.9,2.8,8.7,.236,6.3,3.4,9.7,5.2
31,D'Angelo Russell,2018-19,22,BRK,NBA,58,.535,20.3,58,1746,19.0,.410,.126,2.0,11.5,6.7,38.9,1.8,0.7,13.5,30.7,107,111,1.9,1.6,3.4,.094,3.4,-1.0,2.4,1.9
32,Julius Randle,2018-19,24,NOP,NBA,52,.614,20.2,28,1536,21.7,.153,.478,7.7,24.3,16.2,15.4,1.0,1.8,13.8,26.7,116,111,3.5,1.4,4.9,.153,1.9,-0.2,1.8,1.5
33,Mike Conley,2018-19,31,MEM,NBA,56,.552,19.9,56,1875,20.4,.383,.321,2.0,9.8,5.8,33.5,2.1,0.9,9.3,27.0,113,109,3.7,2.0,5.7,.146,4.0,-1.0,3.0,2.4
34,Lou Williams,2018-19,32,LAC,NBA,53,.561,19.9,0,1382,21.9,.252,.425,1.7,9.8,5.9,33.9,1.1,0.5,12.0,32.7,113,114,3.0,0.7,3.8,.131,3.4,-2.7,0.7,0.9
35,Jimmy Butler,2018-19,29,TOT,NBA,46,.591,19.3,46,1540,21.5,.235,.387,5.4,10.7,8.1,17.9,2.9,1.4,7.7,22.3,123,109,4.4,1.9,6.3,.195,3.4,0.7,4.1,2.4
36,John Collins,2018-19,21,ATL,NBA,42,.636,19.1,40,1248,21.4,.185,.308,12.5,21.8,17.1,11.9,0.5,1.2,12.2,23.5,121,115,3.4,0.6,4.0,.152,2.9,-1.6,1.2,1.0
37,Kyle Kuzma,2018-19,23,LAL,NBA,53,.560,19.1,51,1732,15.0,.395,.222,2.8,14.5,8.8,10.8,0.9,0.9,10.5,24.2,107,111,1.3,1.5,2.8,.078,0.1,-1.4,-1.3,0.3
38,Tim Hardaway,2018-19,26,TOT,NBA,51,.529,18.8,50,1642,14.3,.470,.307,1.8,9.8,5.7,13.1,1.3,0.4,8.8,25.7,106,116,1.2,0.6,1.7,.051,1.0,-2.9,-2.0,0.0
