Rk,Player,Season,Age,Tm,Lg,G,TS_PCT,PTS,GS,MP,PER,3PAr,FTr,ORB_PCT,DRB_PCT,TRB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,ORtg,DRtg,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
114,Hakeem Olajuwon,1993-94,31,HOU,NBA,80,.565,27.3,80,3277,25.3,.011,.320,8.2,23.3,16.2,16.4,2.0,5.7,12.3,29.8,109,95,6.4,7.9,14.3,.210,2.2,4.7,7.0,7.4
115,Tom Chambers,1989-90,30,PHO,NBA,81,.579,27.2,81,3046,20.9,.053,.400,4.7,15.2,10.3,10.0,1.4,0.9,10.3,28.8,115,107,7.5,3.7,11.2,.176,2.4,-0.6,1.8,2.9
116,Clyde Drexler,1988-89,26,POR,NBA,78,.555,27.2,78,3064,23.6,.062,.328,9.9,11.9,10.9,22.2,3.2,1.0,11.6,27.2,117,106,8.8,3.8,12.6,.197,5.9,1.5,7.3,7.2
117,LeBron James,2004-05,20,CLE,NBA,80,.554,27.2,80,3388,25.7,.183,.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,114,103,9.7,4.6,14.3,.203,6.9,1.5,8.3,8.8
118,Shaquille O'Neal,2001-02,29,LAL,NBA,67,.590,27.2,66,2422,29.7,.001,.583,10.8,21.6,16.3,16.4,0.9,4.1,10.0,31.8,116,99,9.2,4.0,13.2,.262,5.5,1.5,7.0,5.5
119,Dwyane Wade,2005-06,24,MIA,NBA,75,.577,27.2,75,2892,27.6,.054,.568,4.5,12.6,8.7,33.0,2.6,1.5,13.2,32.5,115,103,10.2,4.2,14.4,.239,5.9,1.6,7.5,7.0
120,George Gervin,1980-81,28,SAS,NBA,82,.555,27.1,,2765,22.9,.020,.359,5.2,11.1,8.2,15.8,1.6,1.1,11.1,32.3,113,107,8.1,2.4,10.5,.182,3.6,-2.0,1.6,2.5
121,LeBron James,2013-14,29,MIA,NBA,77,.649,27.1,77,2902,29.3,.226,.432,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,121,105,12.3,3.7,15.9,.264,8.0,0.9,8.9,8.0
122,LeBron James,2011-12,27,MIA,NBA,62,.605,27.1,62,2326,30.7,.127,.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,118,97,10.0,4.5,14.5,.298,8.3,2.7,11.0,7.6
123,Chris Webber,2000-01,27,SAC,NBA,70,.516,27.1,70,2836,24.7,.017,.282,7.0,22.1,14.8,20.6,1.7,2.8,9.6,31.6,105,97,5.8,5.2,11.0,.186,2.6,2.4,4.9,4.9
124,Giannis Antetokounmpo,2018-19,24,MIL,NBA,51,.636,27.0,51,1684,30.0,.142,.527,7.6,30.3,19.6,29.5,2.0,3.7,15.3,31.9,119,98,5.8,4.1,9.9,.283,5.1,5.1,10.2,5.2
125,Kobe Bryant,2009-10,31,LAL,NBA,73,.545,27.0,73,2835,21.9,.192,.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,109,104,5.4,4.0,9.4,.160,3.6,-0.1,3.6,4.0
126,DeMarcus Cousins,2016-17,26,TOT,NBA,72,.562,27.0,72,2465,25.8,.253,.468,7.0,29.2,18.2,25.8,2.0,3.4,13.5,36.5,107,105,3.9,3.8,7.6,.149,3.9,2.6,6.6,5.3
127,Clyde Drexler,1987-88,25,POR,NBA,81,.564,27.0,80,3060,24.1,.031,.350,9.2,9.6,9.4,23.5,3.1,1.0,10.9,28.0,118,106,9.3,3.9,13.2,.207,6.1,1.3,7.4,7.3
128,Damian Lillard,2016-17,26,POR,NBA,75,.586,27.0,75,2694,24.1,.389,.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,118,113,8.8,1.5,10.4,.185,6.4,-2.0,4.3,4.3
129,Karl Malone,1997-98,34,UTA,NBA,81,.597,27.0,81,3030,27.9,.004,.560,8.3,24.8,17.1,20.9,1.7,1.7,11.9,31.8,118,102,12.1,4.3,16.4,.259,5.7,1.4,7.0,6.9
130,Karl Malone,1992-93,29,UTA,NBA,82,.612,27.0,82,3099,26.2,.014,.579,8.6,24.6,16.9,16.9,2.0,1.8,11.7,28.4,120,103,10.4,5.0,15.4,.238,5.4,2.2,7.6,7.6
131,Giannis Antetokounmpo,2017-18,23,MIL,NBA,75,.598,26.9,75,2756,27.3,.100,.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,116,106,8.3,3.6,11.9,.207,3.9,1.9,5.8,5.4
132,DeMarcus Cousins,2015-16,25,SAC,NBA,65,.538,26.9,65,2246,23.6,.158,.498,7.7,28.2,18.0,17.0,2.2,3.3,13.3,35.4,103,103,2.4,3.3,5.7,.122,1.0,1.6,2.6,2.6
133,Julius Erving,1979-80,29,PHI,NBA,78,.568,26.9,,2812,25.4,.012,.331,8.6,12.9,10.9,21.4,2.8,2.7,13.3,30.3,111,99,7.3,5.2,12.5,.213,5.0,2.2,7.2,6.5
134,Kawhi Leonard,2018-19,27,TOR,NBA,42,.607,26.9,42,1460,26.1,.262,.408,4.3,19.6,12.1,15.3,2.6,1.1,8.5,29.7,120,105,4.7,2.4,7.1,.232,4.5,1.0,5.4,2.7
135,Damian Lillard,2017-18,27,POR,NBA,73,.594,26.9,73,2670,25.2,.445,.380,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,120,109,9.9,2.7,12.6,.227,7.7,-1.0,6.7,5.9
136,Hakeem Olajuwon,1995-96,33,HOU,NBA,72,.558,26.9,72,2797,25.5,.009,.367,7.3,24.0,15.9,18.3,2.1,5.3,12.5,31.9,108,101,4.5,5.2,9.7,.166,1.2,3.4,4.6,4.7
137,Kiki Vandeweghe,1986-87,28,POR,NBA,79,.597,26.9,79,3029,19.2,.052,.341,3.3,6.0,4.6,11.1,0.8,0.3,7.3,24.8,123,114,9.6,1.3,10.8,.171,3.2,-2.9,0.3,1.8
138,Kobe Bryant,2008-09,30,LAL,NBA,82,.561,26.8,82,2960,24.4,.196,.329,3.5,12.8,8.2,23.8,2.1,1.0,9.7,32.2,115,106,8.6,4.0,12.7,.206,4.8,-0.2,4.5,4.9
139,Allen Iverson,1998-99,23,PHI,NBA,48,.508,26.8,48,1990,22.2,.188,.449,3.8,10.1,6.9,24.2,3.0,0.3,11.7,32.6,105,99,4.3,2.9,7.2,.173,4.9,-0.3,4.6,3.3
140,LeBron James,2012-13,28,MIA,NBA,76,.640,26.8,76,2877,31.6,.188,.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,125,101,14.6,4.7,19.3,.322,9.2,2.4,11.6,9.8
141,Tracy McGrady,2000-01,21,ORL,NBA,77,.521,26.8,77,3087,24.9,.096,.340,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,109,101,8.3,3.9,12.2,.189,4.7,0.9,5.6,5.9
142,Paul Pierce,2005-06,28,BOS,NBA,79,.582,26.8,79,3084,23.6,.215,.555,3.1,17.5,10.5,23.4,1.8,0.8,13.0,31.2,112,106,8.3,3.2,11.5,.178,4.7,-0.3,4.3,4.9
143,Glen Rice,1996-97,29,CHH,NBA,79,.605,26.8,78,3362,19.7,.291,.354,2.5,8.8,5.7,8.8,1.2,0.6,9.2,26.9,117,112,9.6,1.2,10.8,.154,4.1,-2.8,1.2,2.7
144,LeBron James,2010-11,26,MIA,NBA,79,.594,26.7,79,3063,27.3,.188,.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,116,102,10.3,5.3,15.6,.244,6.5,2.1,8.6,8.2
145,LeBron James,2018-19,34,LAL,NBA,38,.598,26.7,38,1320,25.6,.300,.384,2.8,22.0,12.7,35.5,1.7,1.4,13.5,30.9,115,107,3.3,1.8,5.1,.186,5.7,1.7,7.4,3.1
146,Karl Malone,1994-95,31,UTA,NBA,82,.590,26.7,82,3126,25.1,.026,.449,6.6,27.2,17.4,16.4,2.1,2.2,11.3,30.3,115,101,8.1,5.8,13.8,.212,3.2,2.6,5.8,6.1
147,Michael Redd,2006-07,27,MIL,NBA,53,.586,26.7,53,2036,22.3,.299,.406,2.4,9.0,5.7,11.0,1.6,0.3,9.2,29.5,115,114,5.8,0.3,6.1,.145,4.2,-3.6,0.5,1.3
148,Kiki Vandeweghe,1982-83,24,DEN,NBA,82,.613,26.7,79,2909,21.8,.033,.364,4.3,10.9,7.6,9.8,1.0,0.7,9.0,24.9,122,111,10.5,0.6,11.0,.182,4.5,-2.8,1.6,2.7
149,Dominique Wilkins,1989-90,30,ATL,NBA,80,.556,26.7,79,2888,24.6,.109,.340,8.4,12.4,10.4,11.8,2.2,1.0,8.3,30.4,118,112,9.3,1.8,11.1,.184,5.3,-1.6,3.7,4.2
150,Adrian Dantley,1984-85,28,UTA,NBA,55,.607,26.6,46,1971,21.9,.000,.565,8.0,9.0,8.5,15.2,1.3,0.2,12.4,27.7,117,107,5.6,2.3,8.0,.194,4.5,-0.6,3.9,3.0
151,Patrick Ewing,1990-91,28,NYK,NBA,81,.561,26.6,81,3104,23.7,.004,.379,7.4,25.7,16.8,14.1,1.3,5.0,13.2,31.1,107,101,4.4,5.6,10.0,.155,1.3,2.6,3.9,4.6
152,Dirk Nowitzki,2005-06,27,DAL,NBA,81,.589,26.6,81,3089,28.1,.173,.382,4.6,23.4,14.2,14.7,1.0,2.1,7.9,30.0,123,103,13.5,4.3,17.7,.275,5.8,-0.1,5.7,6.0
153,Shaquille O'Neal,1995-96,23,ORL,NBA,54,.570,26.6,52,1946,26.4,.002,.495,11.1,24.2,17.8,15.9,0.9,4.4,11.0,32.8,110,103,3.9,3.0,6.9,.171,2.3,1.1,3.5,2.7
154,Dwyane Wade,2009-10,28,MIA,NBA,77,.562,26.6,77,2792,28.0,.161,.465,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,113,103,8.5,4.6,13.0,.224,7.4,2.0,9.4,8.0
155,Michael Adams,1990-91,28,DEN,NBA,66,.530,26.5,66,2346,22.3,.397,.372,2.1,8.8,5.2,39.4,2.6,0.1,12.7,28.5,113,115,5.8,0.4,6.3,.128,7.1,-2.7,4.4,3.8
156,Carmelo Anthony,2005-06,21,DEN,NBA,80,.563,26.5,80,2941,22.0,.097,.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32.0,110,108,6.8,2.6,9.4,.153,3.0,-1.6,1.5,2.6
157,Alex English,1988-89,35,DEN,NBA,82,.531,26.5,82,2990,19.0,.004,.201,4.8,6.5,5.6,19.7,1.0,0.2,8.8,28.8,109,112,5.1,1.7,6.8,.110,2.5,-2.7,-0.2,1.3
158,Chris Mullin,1988-89,25,GSW,NBA,82,.581,26.5,82,3093,21.9,.061,.339,4.9,10.7,7.8,20.1,2.5,0.7,13.6,26.6,115,108,7.5,3.1,10.6,.165,4.0,-0.2,3.7,4.4
159,Kelly Tripucka,1982-83,23,DET,NBA,58,.565,26.5,58,2252,19.8,.032,.401,5.7,6.5,6.1,15.9,1.3,0.5,12.1,26.5,113,109,5.9,1.2,7.1,.151,3.5,-2.2,1.3,1.9
160,Ray Allen,2006-07,31,SEA,NBA,55,.564,26.4,55,2219,21.6,.384,.268,3.1,10.4,6.7,19.0,1.9,0.4,10.7,29.5,112,112,5.4,0.9,6.3,.136,5.4,-2.1,3.4,3.0
161,Stephen Curry,2017-18,29,GSW,NBA,51,.675,26.4,51,1631,28.2,.580,.350,2.7,14.4,9.0,30.3,2.4,0.4,13.3,31.0,125,108,7.2,1.8,9.1,.267,9.9,-1.3,8.6,4.4
162,Kevin Durant,2017-18,29,GSW,NBA,68,.640,26.4,68,2325,26.0,.338,.331,1.6,19.5,11.2,25.5,1.0,4.0,12.9,30.4,119,107,7.5,2.9,10.4,.215,5.0,0.7,5.6,4.5
