Rk,Player,Season,Age,Tm,Lg,PTS,TS_PCT,eFG_PCT,WS_48,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_PCT,2P_PCT,3P_PCT,FT_PCT
74,Kobe Bryant,2007-08,29,LAL,NBA,28.3,.576,.503,.208,82,82,38.9,9.5,20.6,7.6,15.5,1.8,5.1,7.6,9.0,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,.459,.490,.361,.840
75,Shaquille O'Neal,1997-98,25,LAL,NBA,28.3,.587,.584,.224,60,57,36.3,11.2,19.1,11.2,19.1,0.0,0.0,6.0,11.4,3.5,7.9,11.4,2.4,0.7,2.4,2.9,3.2,.584,.584,,.527
76,Carmelo Anthony,2009-10,25,DEN,NBA,28.2,.548,.478,.145,69,69,38.2,10.0,21.8,9.1,19.1,0.9,2.7,7.4,8.9,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,.458,.478,.316,.830
77,Kevin Durant,2015-16,27,OKC,NBA,28.2,.634,.573,.270,72,72,35.8,9.7,19.2,7.1,12.5,2.6,6.7,6.2,6.9,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,.505,.569,.387,.898
78,Michael Jordan,1984-85,21,CHI,NBA,28.2,.592,.518,.213,82,82,38.3,10.2,19.8,10.1,19.2,0.1,0.6,7.7,9.1,2.0,4.5,6.5,5.9,2.4,0.8,3.5,3.5,.515,.526,.173,.845
79,Larry Bird,1986-87,30,BOS,NBA,28.1,.612,.555,.243,74,73,40.6,10.6,20.2,9.4,17.2,1.2,3.0,5.6,6.1,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,.525,.547,.400,.910
80,Anthony Davis,2017-18,24,NOP,NBA,28.1,.612,.552,.241,75,75,36.4,10.4,19.5,9.7,17.3,0.7,2.2,6.6,8.0,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,.534,.558,.340,.828
81,Kevin Durant,2012-13,24,OKC,NBA,28.1,.647,.559,.291,81,81,38.5,9.0,17.7,7.3,13.6,1.7,4.1,8.4,9.3,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,.510,.539,.416,.905
82,Russell Westbrook,2014-15,26,OKC,NBA,28.1,.536,.455,.222,67,67,34.4,9.4,22.0,8.1,17.7,1.3,4.3,8.1,9.8,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,.426,.457,.299,.835
83,Adrian Dantley,1979-80,23,UTA,NBA,28.0,.635,.576,.189,68,,39.3,10.7,18.6,10.7,18.6,0.0,0.0,6.5,7.7,2.7,4.9,7.6,2.8,1.4,0.2,3.4,3.1,.576,.577,.000,.842
