Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
206,2019-01-11,DAL,@,MIN,4th,5:50.0,DAL up 7 (102-95),H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Doncic),DAL up 10 (105-95)
207,2019-01-11,DAL,@,MIN,4th,2:37.0,DAL tied (107-107),J. Brunson makes 3-pt jump shot from 22 ft (assist by L. Doncic),DAL up 3 (110-107)
208,2019-01-13,DAL,,GSW,2nd,10:48.0,DAL up 4 (29-25),D. Powell makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL up 6 (31-25)
209,2019-01-13,DAL,,GSW,2nd,0:52.0,DAL down 7 (52-59),H. Barnes makes 2-pt jump shot from 20 ft (assist by L. Doncic),DAL down 5 (54-59)
210,2019-01-13,DAL,,GSW,3rd,11:49.0,DAL down 8 (54-62),H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Doncic),DAL down 5 (57-62)
211,2019-01-13,DAL,,GSW,3rd,8:37.0,DAL down 8 (64-72),M. Kleber makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL down 6 (66-72)
212,2019-01-13,DAL,,GSW,4th,8:38.0,DAL down 5 (92-97),D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Doncic),DAL down 2 (95-97)
213,2019-01-16,DAL,,SAS,1st,8:26.0,DAL up 6 (8-2),M. Kleber makes 3-pt jump shot from 23 ft (assist by L. Doncic),DAL up 9 (11-2)
214,2019-01-16,DAL,,SAS,1st,1:49.0,DAL up 12 (27-15),D. Nowitzki makes 3-pt jump shot from 23 ft (assist by L. Doncic),DAL up 15 (30-15)
215,2019-01-16,DAL,,SAS,1st,0:45.0,DAL up 12 (30-18),J. Brunson makes 2-pt jump shot from 10 ft (assist by L. Doncic),DAL up 14 (32-18)
216,2019-01-16,DAL,,SAS,2nd,7:54.0,DAL up 16 (44-28),D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by L. Doncic),DAL up 19 (47-28)
217,2019-01-16,DAL,,SAS,3rd,3:27.0,DAL up 6 (69-63),D. Nowitzki makes 3-pt jump shot from 23 ft (assist by L. Doncic),DAL up 9 (72-63)
218,2019-01-16,DAL,,SAS,3rd,1:48.0,DAL up 3 (72-69),D. Powell makes 2-pt layup from 2 ft (assist by L. Doncic),DAL up 5 (74-69)
219,2019-01-16,DAL,,SAS,4th,2:39.0,DAL down 2 (94-96),D. Jordan makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL tied (96-96)
220,2019-01-16,DAL,,SAS,4th,0:55.0,DAL down 5 (96-101),W. Matthews makes 3-pt jump shot from 32 ft (assist by L. Doncic),DAL down 2 (99-101)
221,2019-01-19,DAL,@,IND,1st,8:49.0,DAL up 2 (6-4),D. Jordan makes 2-pt jump shot from 4 ft (assist by L. Doncic),DAL up 4 (8-4)
222,2019-01-19,DAL,@,IND,1st,7:42.0,DAL up 4 (10-6),W. Matthews makes 3-pt jump shot from 27 ft (assist by L. Doncic),DAL up 7 (13-6)
223,2019-01-19,DAL,@,IND,2nd,10:30.0,DAL down 4 (25-29),D. Powell makes 2-pt layup from 1 ft (assist by L. Doncic),DAL down 2 (27-29)
224,2019-01-19,DAL,@,IND,3rd,8:38.0,DAL down 16 (48-64),D. Jordan makes 2-pt layup at rim (assist by L. Doncic),DAL down 14 (50-64)
225,2019-01-19,DAL,@,IND,3rd,7:42.0,DAL down 15 (52-67),D. Jordan makes 2-pt layup from 1 ft (assist by L. Doncic),DAL down 13 (54-67)
226,2019-01-19,DAL,@,IND,3rd,4:26.0,DAL down 14 (59-73),H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Doncic),DAL down 11 (62-73)
227,2019-01-21,DAL,@,MIL,1st,10:36.0,DAL down 4 (0-4),D. Jordan makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL down 2 (2-4)
228,2019-01-21,DAL,@,MIL,1st,7:36.0,DAL down 6 (6-12),J. Brunson makes 3-pt jump shot from 27 ft (assist by L. Doncic),DAL down 3 (9-12)
229,2019-01-21,DAL,@,MIL,1st,1:37.0,DAL down 8 (22-30),D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Doncic),DAL down 5 (25-30)
230,2019-01-21,DAL,@,MIL,2nd,10:42.0,DAL down 11 (26-37),M. Kleber makes 3-pt jump shot from 29 ft (assist by L. Doncic),DAL down 8 (29-37)
231,2019-01-21,DAL,@,MIL,2nd,10:11.0,DAL down 8 (29-37),D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by L. Doncic),DAL down 5 (32-37)
232,2019-01-21,DAL,@,MIL,2nd,0:55.0,DAL up 1 (56-55),J. Brunson makes 3-pt jump shot from 26 ft (assist by L. Doncic),DAL up 4 (59-55)
233,2019-01-21,DAL,@,MIL,3rd,9:19.0,DAL up 1 (66-65),D. Jordan makes 2-pt layup from 2 ft (assist by L. Doncic),DAL up 3 (68-65)
234,2019-01-21,DAL,@,MIL,3rd,5:36.0,DAL down 3 (70-73),D. Jordan makes 2-pt layup from 3 ft (assist by L. Doncic),DAL down 1 (72-73)
235,2019-01-21,DAL,@,MIL,3rd,4:06.0,DAL down 7 (72-79),D. Harris makes 3-pt jump shot from 29 ft (assist by L. Doncic),DAL down 4 (75-79)
236,2019-01-21,DAL,@,MIL,4th,5:26.0,DAL down 13 (91-104),D. Jordan makes 2-pt layup from 1 ft (assist by L. Doncic),DAL down 11 (93-104)
237,2019-01-22,DAL,,LAC,1st,7:03.0,DAL down 7 (5-12),D. Jordan makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL down 5 (7-12)
238,2019-01-22,DAL,,LAC,2nd,11:30.0,DAL down 3 (26-29),D. Harris makes 3-pt jump shot from 25 ft (assist by L. Doncic),DAL tied (29-29)
239,2019-01-22,DAL,,LAC,2nd,9:48.0,DAL down 1 (31-32),D. Harris makes 2-pt layup from 1 ft (assist by L. Doncic),DAL up 1 (33-32)
240,2019-01-22,DAL,,LAC,2nd,7:31.0,DAL down 1 (37-38),D. Nowitzki makes 3-pt jump shot from 25 ft (assist by L. Doncic),DAL up 2 (40-38)
241,2019-01-22,DAL,,LAC,3rd,1:05.0,DAL tied (73-73),D. Nowitzki makes 3-pt jump shot from 22 ft (assist by L. Doncic),DAL up 3 (76-73)
242,2019-01-22,DAL,,LAC,4th,9:51.0,DAL up 1 (78-77),D. Harris makes 3-pt jump shot from 24 ft (assist by L. Doncic),DAL up 4 (81-77)
243,2019-01-25,DAL,,DET,1st,5:43.0,DAL down 5 (6-11),D. Powell makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL down 3 (8-11)
244,2019-01-25,DAL,,DET,2nd,10:24.0,DAL up 1 (29-28),D. Powell makes 2-pt hook shot from 3 ft (assist by L. Doncic),DAL up 3 (31-28)
245,2019-01-25,DAL,,DET,2nd,7:49.0,DAL up 4 (37-33),D. Finney-Smith makes 3-pt jump shot from 22 ft (assist by L. Doncic),DAL up 7 (40-33)
246,2019-01-25,DAL,,DET,2nd,0:51.0,DAL up 7 (59-52),D. Powell makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL up 9 (61-52)
247,2019-01-25,DAL,,DET,3rd,4:18.0,DAL tied (78-78),D. Jordan makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL up 2 (80-78)
248,2019-01-25,DAL,,DET,4th,6:52.0,DAL up 1 (93-92),D. Harris makes 3-pt jump shot from 25 ft (assist by L. Doncic),DAL up 4 (96-92)
249,2019-01-25,DAL,,DET,4th,3:34.0,DAL up 2 (97-95),M. Kleber makes 3-pt jump shot from 25 ft (assist by L. Doncic),DAL up 5 (100-95)
250,2019-01-25,DAL,,DET,4th,2:36.0,DAL up 3 (100-97),D. Jordan makes 2-pt dunk at rim (assist by L. Doncic),DAL up 5 (102-97)
251,2019-01-27,DAL,,TOR,1st,8:57.0,DAL down 4 (5-9),D. Smith makes 2-pt layup from 1 ft (assist by L. Doncic),DAL down 2 (7-9)
252,2019-01-27,DAL,,TOR,1st,6:49.0,DAL down 11 (7-18),D. Smith makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL down 9 (9-18)
253,2019-01-27,DAL,,TOR,1st,5:36.0,DAL down 8 (13-21),W. Matthews makes 3-pt jump shot from 23 ft (assist by L. Doncic),DAL down 5 (16-21)
254,2019-01-27,DAL,,TOR,1st,2:26.0,DAL down 5 (23-28),D. Finney-Smith makes 2-pt layup from 1 ft (assist by L. Doncic),DAL down 3 (25-28)
255,2019-01-27,DAL,,TOR,2nd,11:34.0,DAL down 8 (32-40),D. Finney-Smith makes 2-pt dunk from 2 ft (assist by L. Doncic),DAL down 6 (34-40)
256,2019-01-27,DAL,,TOR,3rd,10:23.0,DAL down 9 (61-70),D. Jordan makes 2-pt layup from 5 ft (assist by L. Doncic),DAL down 7 (63-70)
257,2019-01-27,DAL,,TOR,3rd,2:50.0,DAL tied (81-81),D. Powell makes 2-pt dunk at rim (assist by L. Doncic),DAL up 2 (83-81)
258,2019-01-27,DAL,,TOR,4th,11:43.0,DAL up 3 (88-85),D. Powell makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL up 5 (90-85)
259,2019-01-27,DAL,,TOR,4th,8:56.0,DAL up 3 (99-96),D. Powell makes 2-pt dunk at rim (assist by L. Doncic),DAL up 5 (101-96)
260,2019-01-27,DAL,,TOR,4th,3:29.0,DAL down 3 (108-111),D. Jordan makes 2-pt dunk from 1 ft (assist by L. Doncic),DAL down 1 (110-111)
