Rk,Player,Season,Age,Tm,Lg,MP,G,BPM,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,VORP
28,Dwyane Wade,2003-04,22,MIA,NBA,34.9,61,1.3,56,2126,17.6,.066,.391,4.6,9.0,6.8,25.1,2.2,1.3,17.3,25.0,101,102,2.2,2.3,4.6,.103,0.9,0.4,1.8
29,Marc Gasol,2008-09,24,MEM,NBA,30.7,82,1.2,75,2521,16.7,.002,.567,9.6,20.0,14.7,9.7,1.3,2.9,16.6,18.3,112,108,3.7,2.7,6.4,.121,-0.2,1.5,2.1
30,Rondae Hollis-Jefferson,2015-16,21,BRK,NBA,21.2,29,1.2,17,615,14.2,.101,.377,7.0,21.4,14.1,10.1,3.2,2.1,13.9,13.5,107,105,0.5,0.7,1.2,.094,-1.4,2.6,0.5
31,Josh Howard,2003-04,23,DAL,NBA,23.7,67,1.2,29,1589,15.7,.124,.259,9.9,15.4,12.6,8.8,2.2,2.5,10.2,18.2,107,105,2.3,1.2,3.5,.104,0.6,0.5,1.3
32,Nikola Mirotic,2014-15,23,CHI,NBA,20.2,82,1.2,3,1654,17.9,.502,.455,4.3,21.8,13.3,9.7,1.7,2.4,10.6,22.8,111,101,3.0,2.7,5.7,.165,1.2,0.0,1.3
33,Donovan Mitchell,2017-18,21,UTA,NBA,33.4,79,1.1,71,2638,16.7,.404,.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,103,105,1.4,3.8,5.2,.095,1.3,-0.2,2.1
34,Marcus Smart,2014-15,20,BOS,NBA,27.0,67,1.1,38,1808,11.0,.570,.266,3.6,9.9,6.7,16.3,2.7,0.8,14.4,15.1,101,104,0.7,2.2,2.9,.077,-0.1,1.3,1.4
35,Stephen Curry,2009-10,21,GSW,NBA,36.2,80,1.0,77,2896,16.3,.332,.175,1.8,12.0,6.8,24.6,2.5,0.5,16.5,21.8,107,111,3.0,1.6,4.7,.077,1.8,-0.7,2.2
36,James Harden,2009-10,20,OKC,NBA,22.9,76,1.0,0,1738,14.0,.429,.415,3.2,12.7,8.1,12.3,2.4,0.9,13.4,20.4,109,104,2.0,2.5,4.5,.124,0.7,0.3,1.3
37,Dwight Howard,2004-05,19,ORL,NBA,32.6,82,1.0,82,2670,17.2,.003,.610,12.2,22.2,17.3,4.4,1.5,3.6,16.1,16.7,111,104,3.8,3.5,7.3,.131,-0.5,1.5,2.0
